m1,m2,m3
16.71716261122955,24.211955786123372,38.3101230935652
16.70807402425515,23.734010230969066,39.27821582978995
16.949421607051676,24.137443613706445,38.58248180257293
18.421814676121258,23.820894929077028,39.33149249423955
17.743671920639446,24.56726546378103,38.133225031936405
17.68822911238457,24.06360413433243,39.27774122685293
17.88383270625775,24.44508569255613,39.791268926243184
16.670752345498958,24.024050787330523,38.75704090477253
17.323350874210583,23.795295140639183,37.45673706627135
17.82558500539657,23.966294441021837,39.165023526554116
16.803096646355765,24.132465644256254,38.73515897516405
17.52133313254454,24.125666931979318,38.4874939884249
17.197159234190245,23.80322537817157,38.771075084053756
16.36465677681152,23.339997533739393,38.70458279948752
17.80456505755996,24.317265305998358,39.36901876855283
16.873921628271543,24.25989411759466,39.64143761169212
17.002665557883727,24.292196265590853,38.89154665817659
17.733338589315025,24.246261179909574,39.12096844618802
17.467833901903646,24.169031128961166,39.72867038677279
17.117348953162715,24.054271921593706,38.546184897725006
16.87071110724803,24.637463362763164,38.88253473866105
17.34457489269572,23.72106208276827,39.521832213830656
16.753269930733435,24.13942715470695,38.88990762623826
18.057986764971886,24.286258174320864,39.65874756486815
17.593686776907667,24.300106455674573,38.83558794915766
16.470270063663325,24.60438033146816,39.890290165868
17.80073593926716,24.398816935555235,38.62072114379863
16.925494884853492,23.816236190607377,38.81462073820484
17.016613669305585,24.550218856511094,38.63721197610033
16.3012106444711,23.90016943742742,39.13686304536998
16.472363011789117,24.17656181527914,39.58886492044695
17.96892216261969,24.003997201837382,39.22508601649357
17.430852671197638,23.52107271456733,39.21504462910302
17.41803778852743,23.98451250599934,38.573068987084895
17.420300807796725,23.999866471421633,38.323546196018874
18.005421633236743,24.37789402233163,38.57889055213937
16.829370188929637,23.87658884952541,39.21262364254473
17.439863037969467,23.193360728577808,39.59155006153113
17.41652448562503,25.547942481319446,39.04773226802504
18.166179165395395,23.77555032752775,38.93886566005003
17.344777302247856,25.065396316035088,38.88135400879964
17.38897932502282,24.175941266286074,37.75756553240624
16.224777404880445,24.241170388777757,40.35794888232704
17.314186510103145,23.842910716288475,39.02808713948372
18.541237771793604,23.507885199415046,39.90774296571656
17.551500609384156,23.612859517171238,39.12532052366018
17.015441351377557,24.450638279553605,39.12455766915716
17.216063842784827,23.792791777697627,37.84343951535203
17.452930740383344,24.311991964648467,38.86705506933679
